"sentence","startTime","endTime","speaker_id","speaker_name"
"And a big one is process over tools.","00:00","00:06",0,"Jarad DeLorenzo"
"It's all, you know, it's workflow.","00:06","00:08",0,"Jarad DeLorenzo"
"Workflow is what makes AI amazing, right?","00:09","00:13",0,"Jarad DeLorenzo"
"And tools is the opposite.","00:13","00:17",0,"Jarad DeLorenzo"
"Tools is something that will lock you in and make you know, not progress and use AI to the maximum.","00:17","00:25",0,"Jarad DeLorenzo"
"So that's what I want to go over.","00:25","00:27",0,"Jarad DeLorenzo"
"So when you leave, I think I'm not pushing a certain tool on you.","00:27","00:33",0,"Jarad DeLorenzo"
"And I designed this to be as agnostic to whatever you're working on.","00:33","00:37",0,"Jarad DeLorenzo"
"I don't care if you are a VS code person or if you are in Sublime or if you're working in Vim or Emacs like it shouldn't.","00:37","00:44",0,"Jarad DeLorenzo"
"That should not dictate your success in AI because it has really nothing to do with it.","00:45","00:50",0,"Jarad DeLorenzo"
"The reason why people think that the tools are important is because you can't sell the.","00:50","00:56",0,"Jarad DeLorenzo"
"You can't sell a workflow, right?","00:56","00:57",0,"Jarad DeLorenzo"
"So you're not going to hear about it.","00:57","00:59",0,"Jarad DeLorenzo"
"The reason that you have all of these tools out there and this fight is because that's how you make money.","00:59","01:06",0,"Jarad DeLorenzo"
"But don't let those things get you down and like, hold you back because it really doesn't matter.","01:06","01:13",0,"Jarad DeLorenzo"
"You should be able to do what you do no matter what tool you're thrown at, no matter what the evolution of AI brings.","01:13","01:19",0,"Jarad DeLorenzo"
"Like, models will get stronger, the tools will get more intuitive, they'll have more features.","01:19","01:24",0,"Jarad DeLorenzo"
"But the people that are just latching on to those tools and features will be so far behind.","01:25","01:31",0,"Jarad DeLorenzo"
"This fundamental workflow idea that I have stumbled upon, right?","01:31","01:38",0,"Jarad DeLorenzo"
"I didn't.","01:38","01:39",0,"Jarad DeLorenzo"
"This is not something that you invent, right?","01:39","01:41",0,"Jarad DeLorenzo"
"This is something that just like when you figured out the fundamental particles of the universe, nobody invented them.","01:41","01:48",0,"Jarad DeLorenzo"
"They were just like, hey, you know, everything is made up of these, like, you know, eight particles, everything ever.","01:49","01:56",0,"Jarad DeLorenzo"
"And you slowly figure it out.","01:57","01:59",0,"Jarad DeLorenzo"
"And that is what I'm going to show.","01:59","02:02",0,"Jarad DeLorenzo"
"And the way it leads into AI is that no matter, like we have chat GPT and like, oh, I use Claude and oh, I use IDE with this, I use Klein plus Rue plus this.","02:02","02:15",0,"Jarad DeLorenzo"
"It's amazing, right?","02:15","02:16",0,"Jarad DeLorenzo"
"All of that is just an illusion, right?","02:16","02:20",0,"Jarad DeLorenzo"
"Because the only thing that exists now is requirements and acceptance criteria.","02:20","02:27",0,"Jarad DeLorenzo"
"Those are the only two things.","02:27","02:29",0,"Jarad DeLorenzo"
"Those are like the base atomic components.","02:29","02:31",0,"Jarad DeLorenzo"
"And I'm just going to.","02:31","02:32",0,"Jarad DeLorenzo"
"I have this earmarked for 10 minutes of the intro talking about like the idea of AI and it's such a conflated word.","02:32","02:45",0,"Jarad DeLorenzo"
"And that's what I'm going to try to put the rest.","02:47","02:50",0,"Jarad DeLorenzo"
"So let me share my screen Here, I'm still Mac.","02:50","02:54",0,"Jarad DeLorenzo"
"I'm gonna put it on.","02:54","02:55",0,"Jarad DeLorenzo"
"Do we want to open the floor?","02:56","02:57",1,"Gershon Herczeg"
"Anyone else want to add anything?","02:57","02:58",1,"Gershon Herczeg"
"I don't want to push me into our discussion.","02:58","03:00",1,"Gershon Herczeg"
"Anyone?","03:02","03:02",1,"Gershon Herczeg"
"Janine, please, go ahead.","03:02","03:04",1,"Gershon Herczeg"
"Yeah, I'm actually interested on the.","03:05","03:08",0,"Jarad DeLorenzo"
"What do you call this to begin with.","03:10","03:11",0,"Jarad DeLorenzo"
"I would like to know what is.","03:12","03:14",1,"Gershon Herczeg"
"A model, to be exact, and how.","03:14","03:20",0,"Jarad DeLorenzo"
"Do we train such things.","03:20","03:21",1,"Gershon Herczeg"
"very good.","03:21","03:24",0,"Jarad DeLorenzo"
"So one takeaway that you'll have is forget about training.","03:24","03:29",0,"Jarad DeLorenzo"
"Training is something that you hear a lot about.","03:29","03:32",0,"Jarad DeLorenzo"
"That was especially before the AI boom.","03:32","03:35",0,"Jarad DeLorenzo"
"Everyone's training models.","03:35","03:36",0,"Jarad DeLorenzo"
"People want to train.","03:37","03:39",0,"Jarad DeLorenzo"
"And even now, training is overkill.","03:39","03:43",0,"Jarad DeLorenzo"
"If you wanted to train, you would really tweak weights, right?","03:43","03:46",0,"Jarad DeLorenzo"
"So you're just tweaking weights, which is different than training.","03:46","03:49",0,"Jarad DeLorenzo"
"It's a lot easier and there are tools that are built in.","03:49","03:53",0,"Jarad DeLorenzo"
"Even as of a couple days ago, VS code released out of beta.","03:53","03:57",0,"Jarad DeLorenzo"
"Their model tuner, which I played with, and it's cool, but you don't need it.","03:57","04:03",0,"Jarad DeLorenzo"
"You don't need it at all.","04:03","04:04",0,"Jarad DeLorenzo"
"And that's what I want to get through.","04:04","04:05",0,"Jarad DeLorenzo"
"Like, don't have to worry about training where we're headed.","04:05","04:09",0,"Jarad DeLorenzo"
"And we're not going to probably get to this today, but that's why this is going to be like a monthly thing and we're going to build on it.","04:09","04:15",0,"Jarad DeLorenzo"
"Today is just a jumping off point, but where the world is headed.","04:15","04:20",0,"Jarad DeLorenzo"
"And I see it so clearly and I can't wait to just have everybody here just pushing on and learning more to get towards this.","04:20","04:28",0,"Jarad DeLorenzo"
"But it's going to be agentic.","04:28","04:30",0,"Jarad DeLorenzo"
"Agents are where we're headed.","04:31","04:33",0,"Jarad DeLorenzo"
"There's no doubt.","04:33","04:34",0,"Jarad DeLorenzo"
"And I was.","04:35","04:38",0,"Jarad DeLorenzo"
"Jared, I'm not sure everyone really understands what.","04:38","04:40",1,"Gershon Herczeg"
"Yeah.","04:40","04:41",0,"Jarad DeLorenzo"
"So even before we talk about agentic, before that there was MCP servers and that was like, you know, and I, you know, MCP servers are basically as important as HTTP to the Internet, right?","04:41","04:56",0,"Jarad DeLorenzo"
"Like, you know, your grandmom uses the Internet, the interwebs, but she doesn't know what HTTP is.","04:56","05:05",0,"Jarad DeLorenzo"
"But without it, I mean, the whole world would not exist with the way we see it today.","05:06","05:12",0,"Jarad DeLorenzo"
"And that is the impact that mcp, perhaps even more mcp.","05:12","05:16",0,"Jarad DeLorenzo"
"And it took me a while and most people a lot of time to even see it.","05:16","05:21",0,"Jarad DeLorenzo"
"There's still.","05:21","05:22",0,"Jarad DeLorenzo"
"People don't know, fully grasp how important it is.","05:22","05:25",0,"Jarad DeLorenzo"
"But this came before the agents and I was thinking, how does agents play into this?","05:25","05:32",0,"Jarad DeLorenzo"
"And I, I get it now and I'm going to connect that for you.","05:32","05:35",0,"Jarad DeLorenzo"
"I'm going to let you see how MCP servers enable agentic work and agents and MCP servers are basically the same thing.","05:35","05:44",0,"Jarad DeLorenzo"
"So when I say an agent, there's so many different definitions.","05:46","05:49",0,"Jarad DeLorenzo"
"I know.","05:49","05:50",0,"Jarad DeLorenzo"
"The number one accepted I think is Hugging Face has.","05:50","05:55",0,"Jarad DeLorenzo"
"You're familiar with Hugging Face?","05:57","05:59",0,"Jarad DeLorenzo"
"I'm not familiar with Hugging Face.","05:59","06:01",0,"Jarad DeLorenzo"
"Yeah, I'm not.","06:02","06:02",1,"Gershon Herczeg"
"Okay, so Hugging Face is, I would say it's the GitHub of AI and it's considered probably one of the best curated sites with a very like user experience wise, Very friendly, very feature rich.","06:02","06:22",0,"Jarad DeLorenzo"
"Still, I'm going to tell you, I don't use it much and I'm sad.","06:23","06:27",0,"Jarad DeLorenzo"
"I guess I could.","06:27","06:28",0,"Jarad DeLorenzo"
"I've tried some stuff in it and it's cool, but I just didn't need it.","06:29","06:32",0,"Jarad DeLorenzo"
"And that's what I'm going to show you, that all these things are tools.","06:32","06:35",0,"Jarad DeLorenzo"
"Hugging Face provides tools and the tools don't matter.","06:35","06:39",0,"Jarad DeLorenzo"
"And that's what I'm going to show you.","06:39","06:40",0,"Jarad DeLorenzo"
"But what Hugging Face is, it's.","06:40","06:42",0,"Jarad DeLorenzo"
"It's a repository for models.","06:42","06:44",0,"Jarad DeLorenzo"
"We are going to have to make a choice of certain tools at the end of the days and that's just going to be not because they're the best tools.","06:44","06:49",1,"Gershon Herczeg"
"Those are the tools that we felt were best for our process and we got to stick with those.","06:49","06:52",1,"Gershon Herczeg"
"And everyone kind of like go ahead and change it around a little bit.","06:52","06:56",1,"Gershon Herczeg"
"But that's.","06:56","06:57",1,"Gershon Herczeg"
"Yeah.","06:57","06:57",0,"Jarad DeLorenzo"
"Because there's so many tools out there, you can't keep going around confusion and try every tool out there.","06:57","07:02",1,"Gershon Herczeg"
"Well, I would say it's more, it's.","07:02","07:04",0,"Jarad DeLorenzo"
"More like once in a while I.","07:04","07:06",1,"Gershon Herczeg"
"Think that's a process, but it's more like your idea.","07:06","07:09",0,"Jarad DeLorenzo"
"Right.","07:09","07:09",0,"Jarad DeLorenzo"
"Like, nobody tells me what ide to use.","07:09","07:12",0,"Jarad DeLorenzo"
"Some companies, I guess they're like, you're using this and that's it.","07:12","07:14",0,"Jarad DeLorenzo"
"But 99% of the time it's up to the developer what tool I would say that is AI workflows in a nutshell, it is completely up to your personal preference how you work best.","07:14","07:25",0,"Jarad DeLorenzo"
"So I cannot dictate what tools.","07:26","07:28",0,"Jarad DeLorenzo"
"I could say this tool is cool because if you're really into doing fast, iterative work, this is the best.","07:28","07:33",0,"Jarad DeLorenzo"
"But if you're really into like very rigorous correctness and you want to go slow, this is the tool.","07:33","07:40",0,"Jarad DeLorenzo"
"But like neither one is correct.","07:40","07:43",0,"Jarad DeLorenzo"
"There's no right or wrong.","07:43","07:44",0,"Jarad DeLorenzo"
"It's just what do you mesh the most with.","07:44","07:48",0,"Jarad DeLorenzo"
"And that's why I don't want to focus on it.","07:48","07:50",0,"Jarad DeLorenzo"
"I'm going to show you the three things that you do need to focus on and they work anywhere.","07:50","07:55",0,"Jarad DeLorenzo"
"So like it doesn't matter.","07:55","07:57",0,"Jarad DeLorenzo"
"AI can just get better and scale and get better.","07:57","08:00",0,"Jarad DeLorenzo"
"You will still be ahead of like nothing that I'm going to show you today will change in the next 30 years, which is a big claim.","08:00","08:07",0,"Jarad DeLorenzo"
"But I, I, I just like how the car, this is one analogies that I, I really like that I thought of, right?","08:07","08:16",0,"Jarad DeLorenzo"
"So the car, if you look at a Lamborghini today, it's insane, right?","08:16","08:21",0,"Jarad DeLorenzo"
"You know, we don't even have manual shift anymore, right?","08:21","08:24",0,"Jarad DeLorenzo"
"We, they have paddles behind the thing and there's electronic systems, subsystems and layers of things.","08:24","08:30",0,"Jarad DeLorenzo"
"There's material science, right?","08:30","08:32",0,"Jarad DeLorenzo"
"But no matter what you do with a car, the same three things are there.","08:32","08:37",0,"Jarad DeLorenzo"
"You have brakes, right?","08:37","08:39",0,"Jarad DeLorenzo"
"And you know that stop.","08:39","08:40",0,"Jarad DeLorenzo"
"You have a steering wheel that turns and like you have a gas that makes you go forward, right?","08:41","08:46",0,"Jarad DeLorenzo"
"A different, that's it.","08:46","08:47",0,"Jarad DeLorenzo"
"Every car is the same thing that has not changed.","08:47","08:50",0,"Jarad DeLorenzo"
